IAW,IBW,ICW,VAY,VBY,VCY
-6967,2219,4715,-9600,3053,6539
-6837,1685,5120,-9412,2313,7092
-6651,1142,5492,-9167,1558,7599
-6432,599,5824,-8866,797,8061
-6181,48,6132,-8509,29,8474
-5897,-526,6392,-8101,-740,8835
-5573,-1077,6610,-7644,-1504,9140
-5201,-1620,6789,-7137,-2256,9391
-4796,-2155,6934,-6588,-2998,9583
-4374,-2673,7032,-5998,-3721,9713
-3921,-3183,7080,-5370,-4419,9786
-3443,-3678,7096,-4710,-5091,9800
-2940,-4131,7064,-4025,-5733,9752
-2430,-4561,6991,-3314,-6339,9642
-1903,-4982,6861,-2579,-6902,9477
-1369,-5363,6699,-1827,-7424,9251
-818,-5711,6497,-1065,-7903,8969
-251,-6019,6246,-301,-8336,8629
299,-6294,5954,466,-8715,8237
858,-6521,5638,1232,-9039,7795
1409,-6699,5298,1992,-9305,7307
1944,-6861,4909,2741,-9512,6771
2462,-6975,4496,3468,-9666,6194
2973,-7048,4050,4176,-9760,5579
3467,-7072,3580,4856,-9791,4931
3945,-7048,3094,5507,-9765,4250
4391,-6983,2592,6126,-9677,3544
4812,-6878,2057,6706,-9528,2817
5184,-6740,1514,7244,-9321,2073
5541,-6562,964,7737,-9057,1313
5865,-6327,405,8182,-8738,547
6165,-6051,-145,8577,-8364,-220
6416,-5743,-696,8918,-7939,-988
6618,-5403,-1239,9206,-7466,-1749
6789,-5031,-1782,9438,-6944,-2501
6910,-4626,-2308,9608,-6381,-3235
7007,-4180,-2819,9721,-5776,-3949
7040,-3726,-3329,9775,-5137,-4641
7032,-3240,-3807,9766,-4469,-5303
6991,-2746,-4261,9698,-3771,-5930
6894,-2219,-4698,9571,-3048,-6522
6772,-1693,-5095,9382,-2308,-7076
6594,-1158,-5460,9138,-1553,-7586
6383,-599,-5800,8837,-790,-8046
6132,-32,-6092,8479,-22,-8459
5824,526,-6343,8070,746,-8820
5500,1077,-6570,7612,1509,-9125
5120,1612,-6756,7106,2264,-9371
4731,2154,-6894,6557,3005,-9564
4301,2681,-6983,5968,3726,-9700
3872,3192,-7040,5337,4425,-9770
3386,3669,-7056,4680,5098,-9784
2884,4123,-7023,3991,5739,-9736
2373,4569,-6951,3275,6345,-9624
1847,4982,-6821,2540,6910,-9459
1304,5363,-6659,1791,7432,-9235
753,5711,-6473,1031,7910,-8952
186,6019,-6221,262,8338,-8613
-364,6286,-5938,-503,8717,-8221
-899,6529,-5622,-1270,9042,-7777
-1450,6724,-5274,-2029,9310,-7290
-2000,6870,-4885,-2773,9520,-6755
-2535,6983,-4471,-3502,9672,-6178
-3046,7040,-4042,-4208,9766,-5563
-3532,7072,-3572,-4887,9799,-4911
-4002,7064,-3070,-5537,9770,-4233
-4439,6999,-2543,-6154,9681,-3528
-4868,6894,-2025,-6734,9535,-2800
-5265,6740,-1498,-7272,9327,-2054
-5630,6546,-947,-7764,9065,-1296
-5946,6319,-388,-8211,8743,-529
-6230,6059,162,-8605,8370,239
-6481,5743,712,-8947,7944,1006
-6683,5411,1271,-9235,7469,1767
-6845,5039,1814,-9465,6949,2520
-6975,4625,2349,-9635,6387,3254
-7056,4196,2859,-9749,5785,3967
-7104,3718,3353,-9802,5145,4657
-7104,3240,3840,-9796,4474,5318
-7056,2730,4293,-9728,3776,5947
-6975,2203,4706,-9600,3052,6539
-6829,1677,5112,-9413,2311,7092
-6651,1126,5492,-9169,1560,7602
-6440,583,5824,-8867,798,8064
-6189,32,6132,-8511,30,8475
-5897,-526,6392,-8104,-738,8835
-5557,-1085,6610,-7648,-1503,9141
-5184,-1620,6797,-7140,-2256,9391
-4787,-2155,6934,-6591,-3000,9582
-4366,-2689,7024,-6002,-3721,9713
-3913,-3191,7080,-5376,-4420,9784
-3435,-3670,7104,-4717,-5091,9799
-2932,-4131,7064,-4027,-5731,9752
-2430,-4577,6983,-3314,-6335,9643
-1895,-4982,6861,-2580,-6902,9477
-1352,-5355,6699,-1830,-7427,9250
-802,-5703,6489,-1069,-7905,8968
-251,-6019,6238,-301,-8336,8631
307,-6286,5954,468,-8712,8240
858,-6513,5638,1232,-9036,7798
1409,-6708,5298,1989,-9305,7309
1952,-6870,4901,2736,-9517,6771
2470,-6975,4488,3465,-9668,6194
2981,-7048,4042,4171,-9760,5580
3467,-7072,3588,4855,-9791,4932
3945,-7056,3094,5507,-9763,4252
4391,-6991,2576,6125,-9676,3547
4812,-6886,2049,6703,-9528,2820
5201,-6732,1514,7242,-9321,2075
5549,-6545,964,7735,-9057,1315
5881,-6310,413,8179,-8739,547
6165,-6051,-145,8574,-8365,-220
6416,-5735,-696,8918,-7939,-986
6627,-5395,-1239,9204,-7463,-1744
6789,-5022,-1790,9434,-6943,-2494
6918,-4617,-2325,9606,-6379,-3231
6999,-4180,-2843,9720,-5776,-3949
7048,-3726,-3345,9773,-5137,-4641
7040,-3240,-3823,9765,-4469,-5302
6991,-2738,-4277,9695,-3771,-5930
6902,-2211,-4698,9569,-3050,-6522
6772,-1685,-5095,9382,-2308,-7074
6594,-1150,-5468,9136,-1553,-7583
6375,-591,-5800,8835,-792,-8044
6116,-32,-6092,8477,-22,-8458
5824,518,-6343,8070,748,-8817
5492,1077,-6570,7612,1511,-9123
5128,1628,-6740,7105,2264,-9371
4731,2154,-6894,6556,3005,-9561
4301,2673,-6983,5966,3726,-9697
3872,3183,-7048,5337,4425,-9770
3386,3661,-7064,4680,5098,-9783
2884,4139,-7023,3990,5737,-9736
2365,4577,-6934,3277,6345,-9627
1847,4990,-6813,2540,6909,-9459
1296,5355,-6659,1788,7429,-9235
737,5695,-6465,1028,7910,-8952
186,6011,-6221,264,8339,-8611
-356,6294,-5938,-507,8717,-8219
-907,6521,-5622,-1270,9041,-7779
-1458,6716,-5274,-2029,9310,-7291
-2009,6861,-4885,-2776,9520,-6757
-2535,6975,-4463,-3502,9672,-6178
-3054,7040,-4018,-4207,9766,-5563
-3548,7072,-3548,-4889,9799,-4911
-4010,7064,-3054,-5542,9770,-4231
-4455,6991,-2552,-6155,9684,-3523
-4885,6870,-2025,-6735,9536,-2797
-5274,6724,-1490,-7273,9327,-2052
-5622,6537,-939,-7764,9065,-1292
-5946,6319,-380,-8211,8744,-528
-6230,6051,170,-8607,8368,239
-6481,5743,720,-8948,7942,1006
-6699,5395,1271,-9235,7469,1767
-6861,5014,1822,-9467,6951,2520
-6983,4609,2349,-9640,6387,3254
-7064,4172,2859,-9754,5783,3967
-7096,3718,3353,-9805,5145,4655
-7096,3240,3832,-9799,4474,5318
-7048,2730,4293,-9731,3776,5948
-6959,2203,4715,-9603,3053,6539
-6829,1668,5120,-9415,2313,7093
-6651,1134,5492,-9170,1560,7602
-6432,575,5824,-8866,797,8062
-6173,24,6124,-8511,29,8474
-5865,-518,6392,-8104,-738,8835
-5549,-1069,6610,-7644,-1503,9141
-5184,-1628,6780,-7139,-2258,9391
-4804,-2171,6926,-6590,-2998,9582
-4366,-2689,7024,-6002,-3721,9715
-3904,-3191,7080,-5375,-4419,9788
-3435,-3678,7088,-4714,-5090,9800
-2940,-4131,7048,-4025,-5733,9749
-2422,-4569,6975,-3311,-6337,9642
-1887,-4974,6853,-2580,-6902,9477
-1344,-5355,6691,-1830,-7427,9253
-802,-5711,6481,-1069,-7907,8968
-243,-6011,6238,-302,-8336,8628
315,-6294,5962,466,-8714,8239
866,-6521,5646,1232,-9036,7798
1417,-6699,5290,1989,-9303,7307
1952,-6853,4901,2734,-9514,6773
2479,-6967,4488,3465,-9666,6196
2981,-7048,4042,4173,-9758,5580
3475,-7072,3572,4853,-9794,4932
3945,-7048,3078,5506,-9765,4254
4382,-6991,2568,6123,-9676,3547
4804,-6886,2041,6701,-9527,2820
5193,-6732,1506,7241,-9321,2075
5557,-6545,964,7735,-9057,1317
5873,-6310,413,8179,-8738,552
6149,-6051,-145,8574,-8365,-217
6408,-5743,-704,8918,-7938,-984
6618,-5403,-1255,9206,-7463,-1744
6789,-5031,-1806,9434,-6941,-2496
6918,-4626,-2325,9606,-6379,-3233
6991,-4188,-2835,9718,-5778,-3949
7023,-3734,-3337,9771,-5140,-4641
7032,-3232,-3823,9763,-4469,-5303
6991,-2730,-4277,9695,-3771,-5932
6894,-2211,-4706,9569,-3050,-6523
6772,-1685,-5104,9381,-2311,-7077
6594,-1142,-5476,9133,-1555,-7584
6383,-575,-5808,8832,-792,-8046
6124,-24,-6100,8477,-21,-8459
5816,526,-6343,8070,748,-8817
5492,1085,-6570,7612,1511,-9125
5136,1636,-6748,7106,2264,-9373
4739,2163,-6886,6557,3005,-9562
4310,2681,-6983,5968,3727,-9695
3848,3183,-7040,5337,4425,-9770
3370,3678,-7048,4678,5098,-9783
2892,4139,-7015,3990,5739,-9734
2357,4569,-6942,3273,6343,-9626
1830,4974,-6829,2540,6907,-9460
1296,5355,-6659,1790,7432,-9235
737,5695,-6473,1028,7910,-8950
178,6019,-6221,260,8339,-8611
-372,6286,-5938,-507,8717,-8221
-915,6521,-5622,-1271,9041,-7777
-1474,6716,-5257,-2029,9310,-7288
-2017,6878,-4869,-2776,9522,-6755
-2535,6983,-4455,-3505,9672,-6178
-3054,7040,-4018,-4210,9765,-5563
-3540,7072,-3556,-4889,9799,-4911
-4018,7048,-3078,-5540,9770,-4231
-4472,6975,-2568,-6159,9681,-3526
-4885,6878,-2025,-6735,9535,-2797
-5265,6732,-1490,-7272,9327,-2052
-5622,6537,-939,-7767,9063,-1296
-5938,6311,-388,-8215,8743,-529
-6230,6035,153,-8610,8370,241
-6481,5727,712,-8950,7944,1007
-6691,5387,1263,-9237,7469,1767
-6870,5014,1806,-9467,6951,2520
-6983,4609,2349,-9640,6387,3256
-7064,4172,2867,-9752,5785,3969
-7104,3710,3370,-9804,5148,4659
-7104,3224,3840,-9796,4476,5320
-7056,2722,4293,-9729,3774,5947
-6951,2203,4731,-9601,3053,6541
-6821,1677,5128,-9415,2313,7093
-6643,1126,5492,-9169,1561,7604
-6432,575,5824,-8869,797,8064
-6181,24,6124,-8516,27,8475
-5881,-534,6383,-8106,-740,8835
-5557,-1093,6610,-7648,-1504,9140
-5184,-1628,6789,-7140,-2258,9391
-4779,-2163,6926,-6591,-2998,9582
-4358,-2681,7032,-6000,-3719,9715
-3904,-3183,7080,-5373,-4419,9788
-3426,-3670,7096,-4714,-5091,9800
-2924,-4123,7064,-4027,-5733,9752
-2414,-4569,6983,-3314,-6337,9643
-1887,-4982,6861,-2580,-6901,9477
-1352,-5363,6691,-1830,-7426,9253
-793,-5711,6481,-1069,-7903,8971
-243,-6019,6230,-301,-8334,8631
307,-6294,5954,466,-8714,8239
866,-6529,5638,1229,-9039,7795
1417,-6708,5274,1989,-9305,7307
1952,-6861,4893,2737,-9512,6773
2479,-6975,4472,3465,-9666,6196
2981,-7048,4034,4173,-9760,5580
3475,-7072,3572,4855,-9791,4932
3937,-7056,3078,5506,-9765,4252
4391,-6983,2568,6123,-9677,3546
4812,-6878,2041,6703,-9528,2818
5193,-6732,1498,7241,-9321,2075
5541,-6545,947,7732,-9060,1317
5873,-6310,405,8179,-8739,552
6165,-6043,-145,8574,-8365,-217
6416,-5735,-712,8918,-7939,-984
6618,-5403,-1263,9206,-7464,-1747
6780,-5022,-1806,9434,-6943,-2496
6910,-4617,-2333,9608,-6377,-3231
7007,-4180,-2851,9720,-5776,-3949
7048,-3710,-3337,9773,-5137,-4638
7040,-3240,-3815,9765,-4466,-5300
6991,-2738,-4269,9697,-3768,-5930
6894,-2211,-4698,9569,-3050,-6523
6764,-1676,-5104,9381,-2308,-7074
6586,-1134,-5476,9133,-1553,-7584
6367,-575,-5800,8833,-790,-8046
6108,-24,-6100,8477,-21,-8459
5816,526,-6351,8070,748,-8817
5484,1085,-6578,7610,1511,-9122
5128,1628,-6748,7103,2264,-9371
4731,2163,-6894,6552,3003,-9564
4301,2681,-6983,5963,3726,-9698
3856,3200,-7048,5337,4427,-9770
3370,3669,-7072,4676,5099,-9783
2875,4131,-7023,3988,5739,-9736
2357,4577,-6942,3273,6345,-9627
1839,4990,-6829,2540,6910,-9459
1296,5363,-6659,1790,7435,-9232
753,5711,-6456,1027,7910,-8952
186,6019,-6221,260,8339,-8615
-372,6294,-5938,-507,8717,-8223
-923,6521,-5606,-1270,9044,-7779
-1482,6716,-5257,-2031,9310,-7290
-2017,6870,-4877,-2776,9522,-6753
-2535,6983,-4463,-3502,9674,-6177
-3046,7056,-4010,-4210,9766,-5563
-3540,7080,-3548,-4892,9799,-4913
-4010,7064,-3054,-5540,9771,-4233
-4455,6999,-2543,-6159,9682,-3526
-4877,6886,-2017,-6742,9533,-2797
-5265,6740,-1482,-7278,9326,-2055
-5630,6546,-939,-7767,9063,-1296
-5954,6311,-388,-8211,8743,-529
-6230,6043,178,-8608,8368,238
-6481,5735,729,-8950,7946,1006
-6691,5395,1288,-9238,7471,1770
-6853,5022,1822,-9468,6951,2519
-6975,4617,2349,-9639,6387,3254
-7056,4172,2867,-9752,5785,3969
-7113,3702,3353,-9804,5146,4657
-7113,3216,3832,-9799,4474,5320
-7056,2713,4285,-9731,3776,5948
-6959,2203,4723,-9601,3055,6541
-6829,1668,5120,-9415,2316,7092
-6651,1126,5484,-9172,1561,7601
-6432,575,5824,-8869,798,8064
-6173,24,6132,-8514,29,8475
-5873,-542,6392,-8108,-738,8835
-5541,-1077,6627,-7648,-1501,9141
-5184,-1628,6797,-7142,-2256,9389
-4787,-2171,6926,-6594,-3000,9580
-4358,-2697,7032,-6003,-3721,9715
-3904,-3200,7080,-5376,-4419,9789
-3426,-3678,7088,-4715,-5093,9800
-2932,-4139,7056,-4027,-5733,9752
-2414,-4577,6967,-3312,-6335,9643
-1871,-4982,6845,-2580,-6902,9477
-1344,-5363,6691,-1832,-7426,9253
-793,-5711,6489,-1070,-7903,8971
-234,-6035,6246,-304,-8326,8626
469,-7542,6991,359,-7900,7505
1847,-13254,11358,644,-5128,4442
3370,-16470,13100,866,-3810,2938
4698,-16818,12119,1174,-3936,2763
5938,-16778,10823,1496,-4169,2669
7153,-16867,9697,1806,-4241,2433
8352,-16948,8595,2099,-4241,2141
9478,-16907,7420,2381,-4226,1840
10548,-16753,6205,2648,-4187,1534
11552,-16502,4941,2899,-4126,1219
12492,-16154,3637,3131,-4037,895
13351,-15700,2325,3345,-3923,568
14128,-15149,1004,3539,-3782,238
14817,-14509,-324,3711,-3620,-97
15417,-13764,-1660,3857,-3434,-427
15919,-12954,-2989,3980,-3230,-758
16316,-12054,-4285,4082,-3006,-1082
16616,-11074,-5557,4155,-2763,-1402
16810,-10037,-6805,4202,-2504,-1710
16907,-8919,-7996,4226,-2224,-2005
16899,-7761,-9146,4225,-1932,-2295
16786,-6554,-10240,4194,-1631,-2569
16575,-5314,-11269,4139,-1318,-2826
16251,-4034,-12225,4058,-997,-3063
15822,-2730,-13108,3952,-672,-3283
15303,-1409,-13910,3821,-341,-3484
14679,-72,-14623,3666,-8,-3662
13991,1271,-15246,3489,323,-3815
13197,2600,-15781,3293,654,-3946
12322,3904,-16219,3073,981,-4058
11366,5184,-16559,2833,1302,-4142
10353,6440,-16786,2577,1613,-4197
9276,7655,-16907,2310,1916,-4228
8125,8814,-16940,2023,2206,-4233
6934,9932,-16851,1723,2483,-4213
5687,10985,-16664,1415,2744,-4166
4423,11973,-16381,1096,2990,-4093
3119,12873,-15984,775,3218,-3994
1798,13707,-15498,447,3424,-3875
469,14453,-14922,110,3607,-3729
-858,15117,-14242,-221,3772,-3555
-2187,15684,-13480,-552,3913,-3364
-3507,16146,-12638,-882,4028,-3154
-4804,16510,-11714,-1205,4119,-2922
-6059,16770,-10718,-1519,4186,-2671
-7283,16940,-9648,-1827,4228,-2405
-8474,16996,-8522,-2120,4241,-2123
-9616,16948,-7339,-2402,4228,-1828
-10685,16794,-6124,-2674,4189,-1524
-11690,16543,-4860,-2924,4124,-1210
-12622,16186,-3572,-3157,4035,-886
-13480,15724,-2268,-3371,3920,-558
-14258,15174,-923,-3562,3782,-228
-14947,14525,405,-3734,3619,105
-15554,13788,1733,-3881,3436,437
-16049,12970,3054,-4006,3230,767
-16446,12079,4366,-4103,3003,1093
-16745,11099,5638,-4177,2760,1412
-16948,10053,6870,-4226,2501,1722
-17045,8952,8069,-4250,2222,2018
-17029,7785,9227,-4247,1931,2305
-16915,6578,10313,-4218,1629,2577
-16697,5338,11342,-4161,1320,2836
-16373,4050,12306,-4079,999,3074
-15943,2754,13189,-3973,673,3295
-15425,1417,13991,-3844,340,3492
-14817,81,14704,-3688,8,3670
-14112,-1255,15336,-3510,-322,3829
-13318,-2576,15862,-3314,-652,3960
-12435,-3880,16300,-3095,-981,4067
-11487,-5160,16640,-2857,-1302,4150
-10467,-6424,16867,-2603,-1615,4207
-9381,-7631,16996,-2332,-1918,4241
-8231,-8806,17013,-2046,-2208,4246
-7032,-9916,16940,-1746,-2485,4225
-5816,-10969,16737,-1436,-2747,4177
-4544,-11957,16446,-1117,-2993,4103
-3248,-12865,16057,-792,-3215,4007
-1919,-13691,15579,-463,-3421,3886
-591,-14428,14995,-132,-3609,3738
737,-15085,14315,200,-3774,3567
2073,-15635,13553,531,-3913,3376
3386,-16097,12703,860,-4027,3165
4682,-16470,11779,1182,-4119,2932
5962,-16721,10799,1498,-4186,2682
7186,-16891,9721,1803,-4226,2417
8360,-16956,8595,2097,-4241,2135
9486,-16915,7420,2379,-4228,1840
10556,-16769,6189,2648,-4189,1535
11568,-16510,4925,2896,-4126,1219
12500,-16162,3621,3128,-4035,897
13359,-15700,2308,3345,-3920,570
14137,-15141,996,3538,-3782,238
14825,-14501,-332,3708,-3620,-95
15417,-13756,-1660,3857,-3436,-427
15919,-12938,-2981,3981,-3230,-754
16316,-12038,-4285,4082,-3005,-1080
16616,-11066,-5565,4155,-2762,-1399
16818,-10037,-6821,4203,-2499,-1709
16915,-8919,-8012,4225,-2224,-2008
16907,-7761,-9154,4223,-1934,-2295
16794,-6545,-10240,4194,-1629,-2567
16575,-5298,-11277,4137,-1318,-2823
16251,-4010,-12225,4054,-999,-3063
15830,-2705,-13108,3951,-670,-3283
15311,-1385,-13910,3821,-340,-3481
14696,-48,-14615,3667,-4,-3659
13991,1280,-15255,3489,325,-3815
13189,2600,-15781,3288,656,-3949
12306,3904,-16211,3069,981,-4058
11366,5192,-16559,2831,1302,-4142
10345,6456,-16778,2577,1616,-4197
9259,7663,-16907,2306,1918,-4228
8117,8830,-16932,2021,2206,-4234
6926,9948,-16851,1723,2483,-4212
5687,10985,-16672,1415,2747,-4163
4415,11973,-16381,1098,2992,-4090
3119,12881,-15984,771,3217,-3994
1798,13715,-15506,440,3423,-3871
461,14453,-14930,108,3609,-3727
-866,15109,-14242,-223,3772,-3559
-2187,15676,-13472,-555,3913,-3366
-3507,16146,-12613,-879,4032,-3149
-4804,16518,-11698,-1203,4121,-2920
-6067,16778,-10710,-1521,4186,-2671
-7291,16932,-9648,-1828,4226,-2404
-8482,16988,-8522,-2123,4239,-2123
-9608,16948,-7331,-2405,4226,-1828
-10685,16794,-6108,-2671,4190,-1522
-11706,16535,-4844,-2922,4127,-1206
-12630,16178,-3556,-3155,4037,-886
-13489,15724,-2236,-3369,3921,-558
-14258,15165,-907,-3560,3784,-226
-14947,14517,413,-3732,3622,106
-15546,13788,1741,-3881,3436,438
-16040,12962,3062,-4004,3230,769
-16446,12063,4366,-4103,3005,1093
-16745,11090,5638,-4179,2760,1411
-16940,10045,6886,-4226,2501,1722
-17029,8935,8085,-4249,2224,2021
-17029,7769,9235,-4246,1934,2306
-16915,6562,10305,-4218,1629,2575
-16689,5314,11342,-4163,1318,2833
-16373,4026,12298,-4080,997,3074
-15943,2730,13189,-3975,672,3295
-15425,1409,13999,-3845,341,3494
-14809,72,14712,-3690,9,3674
-14104,-1263,15336,-3513,-322,3828
-13310,-2592,15854,-3314,-656,3960
-12435,-3896,16292,-3095,-981,4069
-11479,-5176,16640,-2859,-1302,4152
-10459,-6432,16867,-2603,-1613,4210
-9373,-7639,16996,-2332,-1916,4239
-8231,-8806,17013,-2044,-2206,4246
-7032,-9916,16940,-1744,-2483,4225
-5808,-10969,16745,-1438,-2747,4176
-4528,-11957,16454,-1120,-2992,4105
-3224,-12857,16065,-795,-3217,4009
-1912,-13683,15571,-464,-3424,3886
-575,-14436,14995,-132,-3609,3738
761,-15085,14307,199,-3774,3567
2082,-15643,13537,531,-3913,3376
3402,-16097,12703,858,-4030,3163
4698,-16454,11779,1180,-4121,2932
5970,-16729,10783,1496,-4186,2682
7186,-16891,9705,1804,-4224,2418
8376,-16948,8587,2099,-4237,2136
9486,-16907,7404,2379,-4228,1840
10556,-16762,6173,2647,-4189,1535
11577,-16494,4917,2896,-4126,1221
12508,-16138,3621,3129,-4035,897
13367,-15684,2308,3343,-3920,570
14137,-15133,988,3536,-3782,239
14825,-14477,-340,3708,-3620,-93
15417,-13740,-1677,3855,-3437,-427
15911,-12929,-3005,3980,-3233,-759
16316,-12038,-4301,4080,-3006,-1082
16616,-11058,-5573,4155,-2760,-1399
16810,-10013,-6821,4202,-2499,-1707
16915,-8903,-8004,4225,-2222,-2008
16907,-7745,-9146,4223,-1932,-2295
16786,-6537,-10256,4190,-1632,-2569
16567,-5282,-11285,4137,-1318,-2825
16243,-4002,-12241,4056,-997,-3063
15814,-2705,-13116,3949,-672,-3283
15295,-1377,-13910,3818,-340,-3484
14696,-40,-14623,3664,-6,-3661
13983,1288,-15255,3487,325,-3816
13172,2608,-15781,3290,656,-3949
12306,3913,-16211,3071,983,-4056
11366,5209,-16543,2831,1302,-4139
10337,6456,-16778,2577,1613,-4197
9259,7663,-16915,2305,1916,-4228
8109,8830,-16940,2021,2208,-4236
6910,9948,-16842,1723,2485,-4212
5671,10985,-16656,1412,2747,-4166
4399,11957,-16381,1093,2990,-4093
3110,12881,-15976,769,3217,-3994
1782,13715,-15490,440,3423,-3873
461,14453,-14914,110,3609,-3727
-874,15117,-14234,-221,3774,-3555
-2195,15676,-13464,-554,3913,-3364
-3524,16138,-12630,-882,4028,-3152
-4828,16494,-11706,-1206,4121,-2920
-6084,16761,-10710,-1522,4187,-2671
-7299,16932,-9640,-1827,4228,-2404
-8490,16988,-8514,-2122,4241,-2123
-9616,16940,-7323,-2405,4228,-1828
-10693,16794,-6108,-2672,4189,-1524
-11706,16535,-4844,-2922,4126,-1210
-12638,16170,-3548,-3155,4035,-887
-13489,15716,-2236,-3369,3920,-558
